d1,d2,d3,diem,Toán_TB,Văn_TB,KH_TB
35,34,21,90,9.7,7.75,9.02
20,30,17,67,7.52,7.55,7.42
27,31,22,80,9.07,7.88,8.5
26,31,20,77,8.48,7.02,7.76
25,37,25,87,7.68,7.28,7.98
24,42,22,88,8.62,8.55,7.99
35,32,18,85,8.38,6.45,7.59
21,28,11,60,8.62,7.07,8.04
13,38,17,68,6.8,7.52,7.4
26,35,24,85,9.3,8.2,8.74
11,32,18,61,8,7.78,7.2
27,32,22,81,8.55,7.58,7.97
18,31,18,67,8.88,8.5,8.06
25,32,20,77,8.88,7.82,8.35
16,34,17,67,8.12,7.58,7.58
33,30,26,89,9.62,8.2,8.86
18,33,29,80,8.45,8.05,8.43
22,33,17,72,8.3,7.92,8.41
31,38,18,87,9.35,8.15,8.42
23,24,25,72,8.52,7.18,8.07
25,34,27,86,8.07,7.82,8.07
35,36,25,96,9.23,7.38,8.31
19,22,16,57,8.28,6.82,7.64
13,39,24,76,8.85,8.45,7.94
16,23,17,56,6.92,7.3,7.46
24,25,14,63,8.25,8.12,8.28
19,26,26,71,8.55,7.42,8.28
21,31,13,65,8.93,8.12,8.68
16,28,13,57,7.57,7.52,7.61
19,25,12,56,8.55,8.43,8.34
20,27,18,65,8.15,8.07,8.02
35,31,23,89,8.98,6.5,7.88
23,30,18,71,6.85,6.6,7.68
18,28,15,61,7.55,6.35,6.82
22,30,22,74,8.1,6.88,7.78
11,32,8,51,7.45,7.88,7.76
31,40,33,104,8.98,7.52,9.1
26,32,25,83,8.32,7.15,7.91
34,29,26,89,9.32,8.1,9.1
23,30,21,74,8.85,7.1,8.17
32,34,22,88,9.07,7.6,8.57
16,30,17,63,8.05,7.55,8.25
23,26,17,66,8.73,8.2,8.55
24,39,24,87,7.98,6.9,8.21
15,23,21,59,8.25,7.1,8.34
20,33,14,67,8.25,7.42,8.46
14,25,25,64,7.48,6.58,7.82
29,25,18,72,8.7,7.3,8.56
29,34,32,95,9,7.22,8.91
32,22,21,75,9.28,7.52,8.82
19,29,19,67,8.18,8.02,8.54
28,34,25,87,9.12,8.12,8.79
20,23,13,56,8.52,7.12,8.37
21,28,14,63,8.72,6.98,8.1
26,32,19,77,9.68,7.9,8.14
34,27,22,83,9.57,7.82,8.1
18,37,20,75,7.4,7.62,7.56
15,38,25,78,6.8,7.05,7.18
28,28,22,78,8.52,7.85,8.78
23,32,22,77,8.7,7.65,8.43
26,28,21,75,8.88,8.15,8.96
26,32,22,80,9.15,8,9.07
36,34,37,107,9.78,7.52,8.88
25,32,20,77,8,6.9,7.79
32,22,14,68,9,7.7,8.57
39,26,27,92,9.48,7.58,9.1
15,30,22,67,8.18,6.9,7.88
26,29,14,69,9.05,7.25,8.46
23,30,23,76,8.82,7.12,8.5
18,20,18,56,7.7,6.28,7.63
38,22,23,83,9.38,6.95,8.64
36,32,25,93,9.4,7.62,8.76
32,38,32,102,9.3,8.4,8.44
10,25,13,48,7.3,7.62,8.14
25,24,17,66,8.85,8.15,8.18
11,25,13,49,8.5,7.88,8.84
13,29,15,57,7.43,7.32,8.08
28,31,20,79,8.7,7.12,8.52
22,25,22,69,8.48,7.48,8.42
22,34,21,77,7.95,7.72,8.26
15,37,29,81,8.98,7.62,8.88
26,35,19,80,9.18,8.52,8.88
23,35,23,81,7.82,8,8.06
21,36,15,72,8.25,7.25,8.18
11,31,26,68,6.82,6.42,7.2
14,30,14,58,7.1,7.72,7.76
35,32,27,94,9,7.78,8.55
21,29,19,69,8.65,6.82,8.28
24,32,10,66,8.55,7.62,7.98
26,27,22,75,8.93,6.92,8.24
20,31,21,72,8.95,8.52,8.9
32,35,32,99,8.32,7.82,8.41
37,33,27,97,9.2,6.9,8.42
18,36,19,73,7.9,7.2,7.06
36,27,27,90,9.38,6.95,8.63
17,33,22,72,7.9,6.48,7.7
30,32,24,86,8.75,6.8,8.18
40,29,29,98,9.45,7.12,8.45
22,28,20,70,7.3,6,7.78
20,27,22,69,7.98,6.7,8.2
20,36,25,81,8.82,6.98,8.43
30,24,24,78,8.85,7,8.55
27,32,23,82,8.43,7.6,8.59
33,34,30,97,9.48,7.22,8.72
41,35,23,99,9.5,8.02,8.74
14,29,15,58,7.02,7.15,7.46
38,38,27,103,9.65,7.45,8.62
31,29,27,87,8.98,7.2,8.56
29,34,14,77,8.7,7.43,8.56
20,23,13,56,8.12,7.1,8.4
26,25,21,72,8.45,6.6,8.1
18,27,14,59,7.28,5.93,6.96
24,26,25,75,6.68,6.92,7
23,31,24,78,8.68,7.68,8.07
42,26,29,97,8.88,7.12,8.5
29,36,31,96,8.98,7.8,8.84
17,35,24,76,7.9,7.98,7.9
16,23,19,58,8.25,7.72,8.52
21,29,21,71,9.12,7.57,8.6
15,32,16,63,8.28,8.12,8.2
25,31,26,82,8.38,7.1,8.07
29,42,20,91,9.05,7.62,8.68
25,25,18,68,8.3,6.8,7.9
27,35,16,78,8.4,8.1,8.76
10,28,17,55,7.72,6.75,8.19
33,32,30,95,9.25,7.4,8.89
35,27,21,83,9.05,6.93,7.78
35,32,24,91,8.7,6.32,8.12
21,26,20,67,7.88,6.28,7.02
34,32,24,90,9,7.48,9.09
24,29,21,74,8.78,6.85,8.41
27,33,13,73,9.17,8.25,9.02
35,34,25,94,9.2,7.7,8.44
14,33,20,67,8.68,7.58,8.11
40,43,24,107,9.8,8.45,9.28
28,34,22,84,8.88,7.57,8.5
15,27,21,63,8.15,7.1,8.41
31,28,28,87,8.57,7.62,8.2
26,35,14,75,7.9,7.82,7.93
27,37,23,87,8.78,7.7,8.63
20,34,23,77,8.88,8.82,8.91
11,28,22,61,7.18,7.18,7.94
14,31,17,62,6.58,6.72,7.52
36,36,24,96,9.02,7.58,8.84
26,36,24,86,8.25,6.8,8.22
19,26,16,61,7.5,6.32,7.2
15,37,24,76,8.68,7.62,8.34
10,23,17,50,6.9,7.22,7.6
31,29,20,80,8.82,6.38,7.76
37,36,24,97,8.7,7.45,8.25
15,32,14,61,6.82,7.1,7.42
9,22,15,46,7.65,6.2,7.58
11,41,23,75,7.25,7.62,7.96
23,32,26,81,8.85,7.38,8.68
9,35,20,64,7.9,6.88,8.02
10,33,20,63,7.65,7.15,8.18
24,30,25,79,8.88,7.15,8.38
38,28,29,95,8.93,6.8,8.68
18,37,12,67,8.48,8.05,8.4
28,20,22,70,9.15,8.07,9.21
37,35,21,93,9.1,7.05,8.64
29,36,21,86,9.38,7.32,8.89
15,33,22,70,7.4,6.98,7.84
10,31,18,59,9.3,7.82,8.07
25,26,28,79,9.5,7.5,8.59
30,27,21,78,9,6.68,8.04
27,34,20,81,8.65,6.1,7.44
41,33,25,99,9.57,7.82,8.91
41,30,28,99,9.48,8.1,9.04
20,33,19,72,8.2,7.1,8.07
14,24,19,57,7.2,6.22,6.59
34,29,23,86,9,7.58,8.41
13,35,31,79,7.25,7.18,8.18
6,23,16,45,6.38,6.2,6.68
15,30,18,63,8.5,6.93,7.84
23,25,21,69,8.75,7.85,8.59
37,32,25,94,9.18,7.28,8.25
31,29,21,81,9.07,6.12,7.98
34,30,28,92,8.52,6.68,7.46
24,36,22,82,8.72,7.28,7.86
20,31,21,72,7.58,5.4,7.18
26,27,20,73,7.7,6.32,7.24
24,34,20,78,7.8,6.8,7.99
35,34,22,91,8.48,7.08,8.08
36,29,25,90,9.15,7.48,8.52
37,32,29,98,8.93,6.62,8.5
15,21,16,52,8.38,7.08,8.01
28,30,16,74,8.8,7.5,8.23
34,39,22,95,9.57,8.07,8.43
40,33,30,103,9.57,7.62,8.29
30,35,26,91,9.12,7.07,8.85
20,28,19,67,6.85,8.25,6.7
36,32,30,98,9.05,8.27,8.79
33,30,30,93,8.98,7.12,8.66
23,28,22,73,8.48,7.92,8.24
13,30,16,59,8.95,7.4,8.05
34,31,28,93,9.2,7.25,9.1
15,24,17,56,7.85,6.43,6.96
32,38,30,100,9.55,8,9.04
29,37,26,92,9.18,8.35,8.82
30,30,22,82,9.43,7.9,9.05
25,38,30,93,9.1,6.82,8.59
23,35,28,86,9.25,7.75,9.24
17,25,14,56,8.3,6.55,7.7
25,32,23,80,8.85,7.68,8.44
35,31,25,91,9.43,7.57,8.98
32,34,24,90,8.6,7.22,7.97
37,38,30,105,9.67,7.72,8.49
25,31,27,83,8.73,7.48,8.82
16,32,17,65,8.07,7.38,7.56
11,32,24,67,7.55,7.02,7.93
29,28,23,80,9.23,6.92,8.38
25,29,19,73,8.7,7.45,8.14
21,27,13,61,8.58,7.22,8.43
23,28,19,70,8.65,7.1,8.68
26,37,22,85,8.85,7.18,8.02
26,32,29,87,8.23,7.55,8.42
19,25,22,66,8.72,7.3,8.56
37,30,26,93,9.35,7.75,9.14
27,31,22,80,8.52,6.22,7.18
31,37,19,87,9.5,7.8,9.01
34,32,22,88,9,7.9,8.32
27,35,22,84,8.85,7.48,8.14
16,27,17,60,8.6,7,7.78
29,36,17,82,8.52,7.82,8.56
8,35,20,63,7.48,7.25,8
23,25,16,64,8.9,7.82,8.45
26,31,22,79,8.27,7.05,8.38
18,30,22,70,8.68,7.3,7.68
21,36,27,84,8.58,8,8.74
29,31,22,82,9.52,8.38,9.12
18,23,18,59,8.12,5.95,6.93
20,31,20,71,8.62,7.25,8.4
19,26,22,67,8.4,7.5,8.3
24,29,14,67,8.68,6.5,7.78
20,25,17,62,7.05,7.15,7.74
23,28,15,66,8.5,6.42,7.6
16,26,26,68,7.6,6.5,7.5
19,26,11,56,8.55,6.88,8.2
21,30,18,69,8.2,7.28,8.3
32,29,23,84,9.02,7.2,8.68
40,37,27,104,9.28,7.18,8.39
40,37,33,110,9.48,8.1,9.43
23,28,14,65,8.52,8,7.86
27,26,21,74,9.07,6.68,7.8
25,37,25,87,9.1,7.15,7.88
24,28,28,80,8.68,6.8,8.18
23,28,28,79,8.45,7.35,8.04
44,25,29,98,9.48,7.52,8.86
26,31,18,75,9.25,7.8,8.91
32,34,19,85,9.38,7.6,8.6
28,33,23,84,9,6.98,8.18
31,32,28,91,8.82,7.1,8.26
20,20,26,66,8.48,6.7,7.56
35,27,32,94,9.7,8.32,9.3
38,31,23,92,9.78,8.12,8.95
37,40,24,101,9.32,7.72,8.5
18,24,17,59,8.68,7.4,8.71
30,28,22,80,9.35,7.12,8.44
34,38,29,101,9.12,8.05,8.24
30,25,30,85,9.12,7.48,8.33
31,25,23,79,9.3,7.7,8.39
27,30,22,79,8.55,7.55,8.13
38,32,27,97,9.43,7.8,9.14
25,31,21,77,9.22,8.22,8.12
27,35,16,78,8.6,8.22,8.17
31,34,23,88,9.55,7.9,8.91
31,30,19,80,8.45,7.45,8.3
33,29,20,82,8.8,7.48,8.4
19,22,17,58,8.27,7.95,8.04
31,37,21,89,9,7.7,8.41
33,39,22,94,9.43,7.62,8.58
31,37,33,101,9.15,7.38,8.34
28,33,24,85,8.5,7.72,8.16
5,33,21,59,7.98,8.05,8.56
25,30,26,81,8.8,7.78,8.75
24,27,18,69,8.7,7.32,8.32
24,32,21,77,8.5,7.68,8.24
35,37,34,106,9.68,8.35,9.09
24,27,18,69,8.25,8.05,7.9
29,33,27,89,9.07,8.62,8.82
31,26,26,83,8.93,7.68,8.08
21,34,23,78,9.32,7.9,8.25
33,32,22,87,9.32,8,8.89
22,29,18,69,8.38,7.3,8.22
22,34,21,77,7.85,7.62,7.58
14,29,20,63,7.58,6.6,8.01
29,21,23,73,7.7,6.55,8.18
25,35,26,86,8.7,7.7,8.59
22,34,31,87,8.62,7.75,8.52
14,35,17,66,7.68,7.12,7.88
20,25,15,60,8.73,7.45,8.53
34,34,31,99,9.3,8.48,9.1
25,25,24,74,9.05,7.2,8.29
25,33,26,84,7.75,5.7,7.53
27,27,27,81,8.65,6.62,8.26
32,35,21,88,9.1,7.18,8.46
23,30,25,78,8.4,7.32,7.62
28,31,27,86,8.5,7.02,7.86
20,27,26,73,8.98,7.62,8.82
36,36,26,98,9.4,7.9,9.02
26,22,18,66,8.72,7.22,7.88
35,33,15,83,9.3,7.78,8.6
24,31,27,82,8.68,6.8,8.51
24,31,25,80,8.77,6.72,8.35
22,31,21,74,8.3,5.88,7.72
38,33,30,101,9.22,7.72,8.48
29,35,29,93,9.12,6.9,8.7
12,35,28,75,7.52,7.18,7.32
24,27,23,74,7.75,8,7.54
20,31,18,69,8.68,7.7,8.46
18,28,26,72,8.35,7.15,8.02
16,23,17,56,8.9,6.93,8.03
16,25,12,53,9,6.82,7.93
23,19,10,52,9.07,8.1,8.59
22,31,23,76,8.88,7.72,8.24
15,27,15,57,8.48,6.6,7.84
25,37,28,90,9.32,7.68,8.88
16,24,22,62,8.5,6.85,8.3
25,35,19,79,8.52,6.55,7.96
32,32,21,85,9.32,7,8.7
26,35,19,80,8.43,6.5,7.62
24,37,18,79,8.73,8.3,8.41
24,37,22,83,8.43,7.52,7.86
29,31,21,81,8.4,7.08,7.98
14,21,17,52,7.58,6.28,7.34
24,33,19,76,8.4,7.25,7.95
29,31,25,85,8.98,7.9,8.48
21,27,21,69,7.1,6.5,7.08
25,34,24,83,9.05,7.25,8.24
29,30,22,81,9.2,7.78,8.67
25,27,17,69,8.68,7.75,7.96
21,31,23,75,8.82,7.6,8.04
26,35,29,90,9.1,7.55,8.38
21,33,18,72,8,6.8,7.57
23,22,29,74,8.2,6.95,7.46
25,35,21,81,8.38,8.25,8.42
31,35,34,100,8.88,7.12,8.45
25,37,32,94,9.38,8.35,9
37,38,34,109,9.73,8.12,9.2
20,29,24,73,8.15,7.75,8.12
32,37,16,85,8.72,6.68,8.32
35,28,26,89,9.45,7.68,8.64
19,31,24,74,8.65,7.58,8.28
41,36,36,113,9.73,7.88,8.86
37,42,32,111,9.48,7.78,8.84
30,32,26,88,8.52,7.48,7.7
35,37,23,95,9.35,7.38,8.73
34,37,32,103,9.45,6.6,8.58
16,28,15,59,7.98,6.65,7.3
16,31,17,64,8.5,8.22,8.44
31,33,30,94,8.88,7.18,7.98
22,22,24,68,7.8,5.82,6.86
29,27,17,73,8.55,7.02,7.74
23,27,12,62,7.22,6.35,7.35
15,30,22,67,8.32,6.92,8.11
29,33,18,80,9.72,8,8.92
23,29,20,72,8.72,7.28,8.34
29,35,22,86,9.02,7.35,8.23
38,35,30,103,9.25,8.1,8.59
33,33,21,87,9.12,7.38,8.82
27,33,18,78,8.35,7.58,8.2
24,36,24,84,9.15,7.88,8.7
8,26,12,46,6.78,6.98,7.46
33,37,31,101,8.8,8.62,8.82
25,23,29,77,8.95,6.55,7.84
20,26,14,60,7.22,7.72,7.24
31,37,26,94,8.7,6.85,8.72
22,31,26,79,7.8,7.2,7.96
29,30,25,84,8.68,7.78,8.09
32,32,23,87,9.1,7.58,8.37
14,32,22,68,9.1,7.75,8.37
33,26,23,82,8.77,7.65,8.2
30,37,29,96,9.12,7.3,8.51
29,32,21,82,8.88,7.68,8.82
19,28,20,67,8.65,7.48,8.4
35,33,25,93,9.73,7.4,8.32
30,31,23,84,9.6,7.52,7.94
37,38,18,93,9.55,7.5,8.05
31,29,22,82,9.28,7.6,8.54
29,28,21,78,8.43,6.42,7.74
29,31,24,84,9.1,7.68,8.91
28,40,23,91,8.72,7.32,8.3
31,34,31,96,9,7.8,8.92
22,24,13,59,8.38,7.48,8.05
27,33,20,80,8.65,7.8,8.66
17,25,22,64,8.55,7.43,8.38
14,21,23,58,8.15,6.32,7.58
30,29,22,81,8.48,7.1,8
24,30,12,66,9.12,7.78,7.53
21,29,20,70,7.78,7.62,7.94
16,24,19,59,8.38,7.05,7.92
26,31,23,80,8.48,5.75,7.52
31,35,39,105,9.38,6,7.86
19,30,20,69,7.98,6.2,7.74
27,30,26,83,8.52,7.3,8.75
14,32,15,61,8.2,8.05,7.35
34,32,27,93,9.1,7.42,8.73
37,34,31,102,9.5,7.25,8.74
18,35,19,72,9.02,8.35,8.3
32,32,17,81,9.3,6.65,7.42
9,26,13,48,7.25,7.5,7.1
30,32,26,88,8.82,7.58,8.32
25,31,16,72,8.12,6.72,8.15
14,36,23,73,7.75,6.45,7.64
24,32,25,81,8.18,6.25,8.05
21,29,23,73,7.78,7.2,7.82
21,22,18,61,7.5,6.93,7.14
19,29,21,69,8.55,5.25,7.16
23,27,18,68,8.28,6.68,7.28
32,33,21,86,9.38,7.62,8.72
23,26,24,73,8.4,6.75,7.82
36,30,22,88,9.02,7.52,8.27
27,36,25,88,9.2,7.32,8.2
24,26,23,73,8.9,7.98,8.44
30,35,38,103,9.28,8.8,9.27
38,35,35,108,9.2,7.65,8.26
16,29,18,63,7.18,6.62,6.99
24,30,13,67,7.8,7.78,7.28
39,30,26,95,8.75,6.05,7.6
22,26,20,68,8.55,6.78,7.62
28,30,22,80,9.45,8.02,8.49
30,32,28,90,9.4,7.5,8.48
19,28,18,65,9.02,6.42,7.44
14,31,28,73,8.88,6.6,8.38
14,28,23,65,7.18,6.38,6.84
25,36,24,85,8.62,8.48,8.27
33,30,30,93,8.88,7.15,8.57
19,29,23,71,8.52,7.72,8.16
27,32,32,91,9.2,7.42,9.24
29,37,23,89,8.8,7.05,8.4
35,27,15,77,8.02,6.88,7.58
18,23,25,66,8.05,7.22,8.25
32,22,20,74,8.98,7.88,8.33
32,31,19,82,9.25,6.78,8.2
21,25,17,63,7.65,7.5,8.06
21,30,16,67,9,7.2,8.54
36,35,38,109,9.35,8.32,9.36
28,31,34,93,9.23,7.38,8.74
20,31,13,64,6.98,7.58,7.8
36,34,25,95,9.22,7.52,8.44
24,24,22,70,8,7.9,7.74
21,34,19,74,8.75,7.9,8.91
37,35,31,103,9.1,6.68,8.37
34,28,17,79,8.98,8.05,8.88
14,32,23,69,7.85,5.58,7.96
13,34,24,71,8.5,7.5,8.32
32,33,19,84,8.88,8.15,9.11
29,30,23,82,8.55,7.05,7.87
31,33,26,90,9.3,7.35,8.09
19,30,18,67,8.55,8.3,8.59
19,36,24,79,8.68,7.2,8.62
32,32,19,83,9.48,8.1,8.98
15,31,19,65,7.35,6.3,7.06
24,33,25,82,8.72,7.08,7.82
41,41,28,110,9.68,8.43,8.96
18,28,22,68,8.62,6.52,7.99
37,34,29,100,9.22,7.65,8.74
28,33,35,96,9.02,7.4,8.45
22,26,19,67,8.73,7.3,8.32
19,33,23,75,8.22,7.62,8.43
26,30,17,73,8.52,7.5,8.52
27,32,25,84,9.2,7.45,8.31
