d1,d2,d3,diem,Toán_TB,Văn_TB,KH_TB
13,31,17,61,7.72,6.78,7.54
25,32,18,75,8.55,7.9,8.44
24,37,18,79,9.18,7.5,8.38
25,34,18,77,8.57,7.8,8.54
21,27,15,63,8.35,7.08,8.11
17,33,25,75,7.32,7.8,7.25
36,31,30,97,9.75,7.88,8.56
29,40,31,100,9.4,7.55,8.94
41,36,31,108,9.65,8.32,8.71
32,32,16,80,8.48,6.92,7.59
30,28,29,87,9.12,7.45,7.99
31,29,21,81,9.1,7,8.1
22,30,19,71,9.28,7.85,9.02
23,34,24,81,8.82,7.7,8.78
28,24,21,73,8.2,6.9,7.96
13,27,8,48,7.2,6.9,7.12
18,40,24,82,8.4,7.6,8.6
30,32,23,85,8.98,7.52,8.12
30,36,25,91,9.55,8.45,8.75
16,27,19,62,8.35,7.4,8.48
32,35,29,96,9,7.42,8.9
17,30,15,62,7.72,6.32,6.95
36,36,25,97,9.32,7.65,8.96
22,24,18,64,9.2,7.6,8.57
39,29,20,88,9.38,7.62,8.58
12,31,18,61,6.58,5.78,6.96
13,29,22,64,7.05,7.52,8.26
20,26,16,62,7.93,6.8,7.83
35,36,29,100,9.4,7.32,8.62
24,36,29,89,8.77,6.92,8.61
22,34,31,87,8.4,6.85,7.52
14,40,17,71,8.8,7.32,8.71
19,34,20,73,8.15,6.68,7.86
24,25,20,69,8.43,7.52,7.86
20,23,11,54,8.75,6.9,8.98
24,24,19,67,7.6,7.15,7.95
20,29,20,69,8.52,7.25,8.49
17,35,19,71,8.68,7.1,8.57
40,36,27,103,9.65,8.28,8.79
27,30,21,78,9.12,7.72,8.02
31,29,20,80,8.8,6.62,8.08
36,34,30,100,8.73,6.6,8.09
16,29,17,62,8.7,7.82,8.3
26,33,20,79,8.6,7.12,8.33
16,36,18,70,7.9,7.12,8.16
24,39,20,83,8.68,7.75,8.31
22,33,23,78,7.92,8.07,7.32
22,29,19,70,8.18,7.52,7.52
35,37,26,98,9.15,7.57,8.59
24,29,17,70,8.02,7.28,8.18
45,33,35,113,9.52,8.05,9.1
17,30,12,59,7.28,6.85,7.4
19,35,22,76,8.05,6.82,7.42
33,33,30,96,8.88,6.32,7.7
28,38,23,89,8.93,8.12,9.1
29,39,30,98,9.18,7.57,8.39
29,32,33,94,8.8,6.98,7.88
34,23,22,79,9.12,7.48,8.4
19,29,22,70,7.95,5.98,7.54
32,28,23,83,9.38,7.57,8.96
31,26,29,86,8.6,7,7.85
18,38,25,81,8.43,8.18,8.32
30,38,35,103,9,7.58,9.14
27,27,17,71,8.1,7.15,7.76
20,35,23,78,7.85,7.7,7.78
33,32,25,90,9.07,7.3,8.26
26,33,23,82,8.2,5.82,7.38
18,30,18,66,7.32,6.45,7.15
17,36,28,81,6.68,7.45,7.61
17,35,13,65,8.48,7.6,8.48
25,27,15,67,7.58,6.52,7.16
37,39,29,105,9.18,7.6,8.82
35,35,27,97,9.02,8.25,8.78
33,31,21,85,8.9,7.78,8.26
19,34,16,69,8.9,7.88,8.88
36,39,28,103,9.6,8.12,9.04
24,32,25,81,9,7.58,8.56
20,38,20,78,8.72,8.28,7.59
39,32,27,98,9.07,6.75,7.96
24,31,28,83,8.95,7.4,8.75
28,32,27,87,9.65,7.95,8.42
35,28,26,89,9.25,8.35,8.67
36,36,28,100,9.73,7.98,8.77
34,33,31,98,8.85,6.8,8.4
20,26,23,69,7.25,7.07,7.52
23,21,16,60,8.25,7.85,7.56
14,20,13,47,7.85,6.28,6.68
22,33,24,79,8.57,7.32,8.3
23,33,26,82,8.9,7.82,8.44
20,23,22,65,7.92,7.22,7.96
38,33,37,108,9.68,8.23,8.93
22,33,27,82,8.28,6.07,8.02
29,26,26,81,8.57,7.52,8.2
28,37,26,91,9.23,7.3,8.75
37,31,30,98,9.55,7.42,8.76
33,36,24,93,8.6,7.62,8.7
29,28,19,76,9.07,7.18,8.68
23,29,21,73,9.12,7.5,8.24
6,28,22,56,7.25,7.05,6.96
20,32,25,77,7.7,6.98,7.62
18,30,15,63,8.02,6.92,7.98
25,24,19,68,9.22,7.05,8.19
23,28,23,74,8.25,7.5,8.12
20,27,22,69,7.32,6.65,7.4
32,34,33,99,9.52,7.75,8.67
25,26,26,77,8.45,7.6,8.12
28,30,26,84,9.4,7.52,8.74
18,39,20,77,7.98,6.9,7.92
22,28,16,66,9.23,7.75,8.26
16,28,23,67,7.52,6.65,7.14
13,28,17,58,6.88,6.8,7.08
35,34,36,105,9.45,7.42,8.78
30,39,26,95,9,7.85,8.01
37,37,36,110,9.52,8.22,8.98
28,31,23,82,7.72,7.05,7.04
18,29,16,63,8.38,7.95,8.16
32,33,23,88,8.62,7.6,8.1
25,31,31,87,8.48,7.55,8.36
32,36,28,96,9.15,7.35,8.83
23,27,17,67,7.02,7.12,6.42
26,31,24,81,8.55,6.48,8.04
15,24,25,64,8.43,6.72,8.09
23,34,31,88,9.05,7,8.72
37,27,27,91,8.55,7.7,8.3
22,26,21,69,7.88,6.95,7.72
40,33,34,107,9.42,7.2,9.04
23,24,13,60,8.72,6.75,8.32
43,31,20,94,9.52,7.9,8.87
22,26,22,70,8.45,7.9,8.31
26,36,17,79,8.75,7.88,8.12
33,35,19,87,8.57,8.3,8.42
13,24,21,58,7.45,6.98,7.2
22,31,15,68,8.8,7.3,8.55
31,36,31,98,9.45,7.38,8.52
24,24,18,66,8.4,7.7,7.96
25,34,25,84,8.48,7.38,8.38
22,28,25,75,8.73,7.48,8.22
29,38,26,93,8.38,7.15,8.47
34,42,30,106,9.25,7.7,8.76
34,26,22,82,9.07,7.55,8.66
34,32,29,95,9.28,7.8,8.81
37,38,32,107,9.27,7.6,8.74
37,35,23,95,9.22,7.85,9.14
31,30,27,88,9.18,7.3,9.02
30,29,18,77,8.68,7.5,7.7
32,36,27,95,9.07,7.62,9.2
32,35,16,83,8.77,7.02,8.14
24,25,24,73,8.88,7.6,8.71
37,28,20,85,9.07,7.75,8.75
32,26,33,91,8.72,7.3,8.53
31,35,20,86,9.5,8.25,8.35
31,36,34,101,9.52,7.28,8.74
17,28,18,63,7.6,6.5,7.4
16,29,13,58,7.45,5.6,6.74
35,36,20,91,9.28,7.78,8.63
32,29,24,85,9.18,7.3,8.22
34,35,31,100,9.28,8.02,8.54
29,30,15,74,8.48,6.65,7.36
22,35,21,78,9.3,7.55,8.18
19,31,31,81,7.25,7.3,7.92
28,29,23,80,9.35,6.85,8.3
38,31,28,97,8.52,7.52,8.23
15,34,21,70,8.12,7.52,7.88
17,34,13,64,7.88,7.3,7.21
30,27,31,88,9.12,7.9,8.54
18,32,18,68,8.72,7.22,8.06
25,38,17,80,8.78,8.07,8.34
20,33,24,77,8.55,7.8,8.6
27,35,22,84,9.15,7.5,8.68
23,34,19,76,7.6,6.88,7.66
36,35,39,110,8.95,6.68,8.09
19,28,20,67,8.73,7.65,7.42
24,24,13,61,7.9,6.93,6.64
30,35,26,91,9.12,7.32,8.18
25,18,17,60,8.98,6.9,8.1
30,31,26,87,9.32,7.45,8.34
31,36,22,89,8.95,6.78,7.72
29,26,26,81,8.35,7.38,7.8
38,26,16,80,8.6,7.12,7.66
25,38,26,89,9.15,7.57,8.57
29,32,26,87,8.72,7.92,8.4
34,25,19,78,8.57,6.98,8.29
11,29,12,52,7.2,6.95,7.93
32,37,21,90,8.9,8.2,8.46
13,25,11,49,8.43,7.5,7.88
28,33,20,81,9.83,8.1,8.91
33,33,21,87,9.18,7.6,7.76
29,35,24,88,8.98,8.05,8.98
18,38,26,82,8.95,7.18,8.28
38,30,27,95,8.65,7.15,8.43
39,38,32,109,9.6,7.92,8.56
25,36,17,78,8.07,7.45,8.22
16,24,14,54,8,6.1,7.42
31,31,23,85,9.18,7.32,8.88
24,29,16,69,8.9,7.65,8.67
27,25,25,77,9.22,6.8,8.14
35,27,24,86,9.45,7.38,8.31
25,32,12,69,8.38,7.32,8.04
28,30,30,88,8.85,7.45,8.3
28,29,20,77,8.55,7.4,8.72
19,35,24,78,8.32,7.85,8.18
25,35,19,79,8.85,7.12,8
34,24,21,79,9.15,7.3,8.66
23,34,28,85,9.45,7.82,8.06
26,30,22,78,8.6,7.52,8.24
29,33,25,87,8.43,7.5,8.43
31,36,24,91,9.05,6.9,7.62
30,35,28,93,8.75,7.62,8.09
29,31,14,74,8.3,7.07,7.93
20,33,22,75,8.7,7.72,7.9
19,30,22,71,8.45,7.85,8.67
25,28,24,77,9.2,8.1,8.3
27,35,35,97,9.05,7.55,8.86
14,33,16,63,8.38,7.95,8.06
24,37,19,80,8.78,7.88,7.72
20,28,19,67,8.25,7.4,8.61
27,38,22,87,8.15,7.88,8.47
23,31,23,77,8.68,7.55,8.41
21,35,23,79,8.88,7.12,8.23
17,25,22,64,8.45,7.55,8.37
29,35,28,92,9.35,7.85,8.26
36,28,27,91,9.15,7,8.5
16,35,15,66,8.68,7.52,7.66
29,27,19,75,9.12,8.15,8.57
16,25,21,62,7.32,7.28,7.62
23,35,26,84,8.65,8.02,8.68
32,35,21,88,8.32,7.98,8.53
29,31,26,86,9.3,7.43,8.5
26,29,19,74,9.75,8.57,9.38
34,33,16,83,9.78,7.92,8.8
30,37,23,90,8.95,7.28,8.07
34,28,27,89,8.93,6.35,7.7
37,39,33,109,9.65,7.75,8.9
25,37,24,86,8.9,7.08,8.66
25,29,21,75,8.12,6.45,7.57
22,37,26,85,9.52,8.3,8.86
23,26,25,74,9.22,8.65,9.14
27,27,26,80,8.9,7.7,8.54
34,32,28,94,9.1,7.32,8.71
20,35,24,79,8.95,8.32,8.44
23,32,19,74,8.78,7.43,7.92
24,34,25,83,8.98,7.12,8.5
38,41,36,115,8.82,7.65,8.96
19,35,23,77,8.15,7.22,7.45
23,32,23,78,7.48,6.7,7.07
16,24,18,58,8.75,7.38,8.39
20,36,24,80,8.45,8.5,8.27
27,33,18,78,8.98,7.55,8.5
24,32,31,87,9.22,7.88,8.26
19,28,17,64,8.88,7.35,8.74
31,32,33,96,9.52,8.25,8.72
30,32,33,95,8.38,7.2,8.28
29,36,18,83,8.88,7.3,8.44
27,22,21,70,9.1,7.35,8.74
22,32,14,68,8.75,7.48,7.96
21,26,22,69,9.22,8.1,8.1
32,31,26,89,9.1,7.75,8.73
35,35,33,103,9.18,7.55,9.18
38,33,35,106,9.05,7.22,8.72
34,30,31,95,9.18,7.28,8.38
34,31,19,84,8.85,7.28,8.41
19,29,25,73,8.5,7.43,7.77
35,38,23,96,9.4,8.48,8.55
32,35,25,92,9.18,7.38,8.28
27,34,24,85,8.6,8.07,8.17
21,35,19,75,9.15,7.92,7.7
37,35,28,100,9.55,8.18,9.12
19,30,18,67,8.32,5.68,7.93
30,36,24,90,9.35,7.78,7.99
35,38,33,106,9,6.88,8.32
18,23,17,58,7.1,7.3,6.74
29,33,26,88,9.5,7.68,8.48
17,34,28,79,8,8.2,8.15
30,35,39,104,8.7,7.82,8.82
21,32,15,68,8.15,7.1,7.1
15,35,19,69,8.6,7.8,8.34
18,36,23,77,7.98,7.32,8.08
22,30,21,73,8.57,7.22,7.7
13,32,21,66,7.98,7.6,8.14
29,31,21,81,9.12,7.58,8.1
43,38,32,113,9.45,7.85,8.7
35,31,22,88,9.55,8.02,7.48
8,28,17,53,6.32,6.82,6.71
33,29,24,86,8.83,6.55,8.46
20,25,15,60,8.82,8.57,8.56
15,28,17,60,7.42,7.8,7.04
24,34,28,86,8.62,7.5,8.14
26,32,27,85,9.3,7.85,8.64
21,31,17,69,8.38,7,7.8
30,31,24,85,9.2,7.45,8.22
36,35,27,98,9.43,7.52,8.56
23,30,21,74,7.15,6.72,7.6
33,31,21,85,8.68,7.7,8.4
16,34,18,68,8.25,6.75,8.32
38,30,33,101,9.43,6.88,7.81
16,30,21,67,8.1,7.62,8.08
31,34,19,84,8.68,7.48,8.54
15,31,20,66,8.35,6.72,8.29
31,28,24,83,8.7,7.3,7.36
29,30,25,84,9.5,7.52,8.77
24,26,21,71,8.4,7.58,8.09
30,38,26,94,8.2,6.98,7.24
23,25,17,65,8.07,5.95,7.32
12,29,16,57,7.7,7.35,8.06
32,30,26,88,9.1,6.58,8.42
28,26,16,70,8.8,7.4,8.52
26,34,19,79,8.42,7.32,7.63
34,36,20,90,9.43,7.8,8.56
42,33,25,100,9.35,7.6,8.04
27,41,25,93,8.77,7.72,8.26
27,39,21,87,8.57,8.22,8.44
30,34,19,83,8.4,7.7,8.43
26,28,24,78,8.18,6.7,7.54
10,24,15,49,8.88,8.82,8.81
17,34,15,66,8.3,6.68,8.24
23,36,29,88,8.75,8.25,8.62
25,29,20,74,8.35,7.65,8.2
13,28,16,57,7.45,7.8,8.02
20,25,18,63,8.48,7.98,8.31
22,25,17,64,7.4,6.25,6.76
31,31,27,89,8.82,7.45,7.96
35,22,34,91,9.45,7,8.26
29,35,16,80,9.3,8.05,8.25
27,34,26,87,8.73,7.4,8.39
14,33,22,69,7.48,7.12,7.62
11,26,23,60,8.1,7.2,8.46
26,32,24,82,9.35,7.95,8.5
27,36,21,84,8.65,7.5,8.52
24,34,21,79,8.62,7.7,8.61
26,36,21,83,8.07,7.5,8.04
15,33,23,71,8.65,8.38,8.75
20,33,23,76,8.35,6.72,7.58
21,30,12,63,7.1,7.78,7.84
19,28,13,60,7.78,7.88,7.3
16,15,18,49,6.93,6.7,6.98
26,29,26,81,7.72,8.02,7.82
14,31,13,58,7.45,7.68,7.94
19,35,18,72,8.45,8.18,8.24
13,33,25,71,8.22,8.27,8.47
25,38,16,79,9.05,7.75,9.16
21,36,16,73,8.55,8.35,8.41
28,41,20,89,9.27,8.58,8.5
21,32,20,73,8.88,7.68,8.12
23,29,23,75,8.68,7.78,8.5
19,35,17,71,7.98,8.15,8.76
29,40,31,100,9.57,8.3,9.18
13,16,13,42,7.07,7,7.56
14,34,16,64,8.7,8.07,8.33
24,35,22,81,8.52,8.38,8.2
17,35,18,70,8.65,8.15,8.43
19,33,18,70,8.25,7.6,8.32
24,38,21,83,9.15,7.78,8.37
20,36,24,80,8.45,8.52,8.36
20,34,8,62,7.88,7.15,8.2
18,26,20,64,8.28,7.7,8.3
33,35,18,86,9.3,7.88,8.93
31,41,27,99,9,7.82,8.52
26,28,18,72,9.18,8.25,8.04
26,40,22,88,8.5,8.5,8.64
18,30,24,72,9.05,8.15,8.54
13,38,20,71,6.75,7.82,7.97
32,33,20,85,9.45,8.45,9.32
41,33,22,96,9.6,7.82,8.68
21,32,18,71,7.28,6.98,7.43
32,36,20,88,9.18,7.57,8.6
29,32,22,83,9.18,7.8,8.85
21,29,17,67,7.85,8.12,7.76
29,39,23,91,9.32,8.25,9.12
21,31,21,73,8.52,7.8,8.62
26,36,18,80,7.6,8.02,8.36
23,30,23,76,9.07,8.52,8.94
18,28,18,64,7.8,7.55,8.11
24,32,23,79,9.22,7.45,9.15
33,42,22,97,9.08,8.52,8.63
28,43,23,94,8.98,8.95,8.58
25,40,24,89,8.7,8.32,8.43
34,35,25,94,9.4,7.7,8.65
17,31,17,65,8.1,7.75,8.56
26,35,26,87,8.62,7.7,8.73
23,30,14,67,8.23,7.92,8.1
30,34,19,83,8.8,8.95,8.9
27,30,16,73,8.18,7.58,7.94
26,41,15,82,8,8.05,8.34
25,37,32,94,9.02,8.2,9.25
16,27,21,64,6.78,8.07,7.86
12,34,21,67,8.65,8.52,8.22
19,38,16,73,7.75,7.52,8.11
17,30,15,62,8.07,7.48,7.95
14,30,14,58,8.18,7.88,8.02
26,32,25,83,9.1,7.3,8.67
13,39,18,70,7.4,8.3,8.52
20,27,21,68,8.28,7.15,8.29
30,35,17,82,9,7.5,8.46
20,35,29,84,9.32,7.62,9.06
25,38,21,84,9.4,8.18,8.98
19,33,17,69,8.77,8.18,8.59
13,31,16,60,7.82,8.32,7.92
35,29,38,102,9.28,7.85,9.38
28,38,25,91,8.82,7.02,8.36
35,40,24,99,9.27,8.18,8.72
25,31,17,73,8.65,7.9,8.26
25,35,27,87,9.12,7.82,8.46
28,35,20,83,9.07,7.82,8.21
10,36,17,63,6.8,7.32,7.44
26,37,27,90,8.78,8.57,8.62
25,39,22,86,7.8,8.18,8.01
19,38,19,76,7.7,8.35,7.92
17,31,16,64,8.4,7.57,8.66
29,35,18,82,9.25,7.85,8.78
15,30,15,60,5.9,7.48,7.96
14,26,17,57,6.95,7.38,7.46
20,28,21,69,8.1,8.12,8.16
14,33,16,63,6.52,7.78,7.35
24,40,24,88,9,8.25,8.73
28,34,15,77,8.35,7.93,8.52
32,28,28,88,9.1,7.85,8.82
36,31,26,93,9.32,7.65,8.7
33,34,23,90,9.22,8.25,9.04
19,36,20,75,8.68,8.32,8.76
21,30,22,73,8.55,7.82,8.44
21,35,18,74,8.57,7.95,8.56
13,27,14,54,8.45,7.35,8.15
26,36,22,84,9.02,8.48,8.08
13,31,15,59,7.93,8.32,7.98
16,34,18,68,8.28,7.48,8.58
15,30,21,66,8.62,7.95,8.44
38,42,33,113,9.62,8.62,9.42
12,32,14,58,8.08,7.52,7.94
10,28,18,56,8.3,7.12,7.98
29,36,23,88,9.2,8.45,8.76
22,32,24,78,9.3,8.07,8.76
26,37,23,86,8.85,8.45,8.86
13,33,21,67,8.48,8.22,8.2
13,31,22,66,7.25,8.33,8.06
14,27,20,61,7.42,8.5,8.14
4,34,17,55,6.72,7.28,7.68
12,31,16,59,7.9,7.43,7.87
28,39,18,85,8.43,8.55,8.25
30,32,23,85,8.57,7.98,8.45
25,39,20,84,8.57,8.4,8.94
26,28,24,78,9.07,8.23,8.57
29,39,23,91,9.73,9.12,9.44
30,41,20,91,9.35,8.68,9.1
27,35,20,82,9.4,8.23,8.94
27,32,18,77,8.4,8.5,8.24
12,31,13,56,8,8.07,8.14
36,31,22,89,9.48,8.23,8.29
30,29,27,86,9.32,8.12,8.88
32,32,20,84,8.75,7.95,8.93
26,32,27,85,7.98,7.92,8.32
26,42,25,93,8.73,8.55,8.38
23,34,18,75,8.57,8.38,8.4
25,32,27,84,8.1,6.82,8.26
26,32,15,73,8.57,8.05,8.06
16,27,22,65,8.52,8.18,8.22
32,28,30,90,9.02,7.32,8.87
14,30,15,59,7.78,7.6,8.23
36,31,24,91,9.5,7.52,8.76
19,26,13,58,8.88,8.15,8.24
22,37,22,81,8.85,8.45,8.49
22,34,24,80,8.75,7.45,8.83
12,25,19,56,8.73,7.95,8.5
